Wall time,Step,Value
1582151998.5752184,2693,36.0
1582151998.5752382,2703,10.0
1582151998.5753982,2719,16.0
1582151998.5754232,2747,28.0
1582151998.5754461,2773,26.0
1582151998.5754664,2782,9.0
1582151998.575487,2793,11.0
1582151998.5755088,2813,20.0
1582151998.5755315,2840,27.0
1582151998.575552,2855,15.0
1582151998.575571,2861,6.0
1582151998.575592,2878,17.0
1582151998.5757241,2884,6.0
1582151998.5757456,2902,18.0
1582151998.575766,2918,16.0
1582151998.5757868,2932,14.0
1582151998.5758064,2944,12.0
1582151998.5758262,2954,10.0
1582151998.5758462,2965,11.0
1582151998.575865,2971,6.0
1582151998.575884,2977,6.0
1582151998.575907,3009,32.0
1582151998.5760899,3015,6.0
1582151998.5761206,3034,19.0
1582151998.576143,3054,20.0
1582152055.478744,3080,26.0
1582152055.4788058,3102,22.0
1582152055.4788363,3119,17.0
1582152055.4788625,3139,20.0
1582152055.478888,3168,29.0
1582152055.478912,3187,19.0
1582152055.478939,3227,40.0
1582152055.4789622,3244,17.0
1582152055.4789836,3255,11.0
1582152055.479004,3262,7.0
1582152055.4790282,3295,33.0
1582152055.4792829,3301,6.0
1582152055.4793177,3330,29.0
1582152055.4793437,3352,22.0
1582152055.4793687,3377,25.0
1582152055.4793913,3393,16.0
1582152055.4794116,3398,5.0
1582152055.4794338,3411,13.0
1582152055.4794564,3434,23.0
1582152055.479477,3443,9.0
1582152055.4795008,3470,27.0
1582152055.4796648,3494,24.0
1582152055.4796863,3500,6.0
1582152055.4797065,3511,11.0
1582152055.479726,3517,6.0
1582152055.4797475,3540,23.0
1582152055.479769,3562,22.0
1582152055.4797883,3568,6.0
1582152055.4798086,3580,12.0
1582152055.47983,3601,21.0
1582152055.4798517,3624,23.0
1582152055.4799857,3641,17.0
1582152055.48006,3670,29.0
1582152055.4800942,3693,23.0
1582152055.4801307,3725,32.0
1582152055.4801614,3739,14.0
1582152055.4801915,3760,21.0
1582152055.4802153,3782,22.0
1582152055.4802365,3799,17.0
1582152055.480268,3881,82.0
1582152055.4802911,3907,26.0
1582152055.480562,3931,24.0
1582152055.4805946,3951,20.0
1582152055.4806218,3980,29.0
1582152055.4806457,3995,15.0
1582152055.4806678,4010,15.0
1582152055.4806924,4041,31.0
1582152055.480715,4056,15.0
1582152055.480735,4061,5.0
1582152055.4807591,4093,32.0
1582152110.7239463,4128,35.0
1582152110.7241173,4153,25.0
1582152110.7241597,4188,35.0
1582152110.7241895,4211,23.0
1582152110.7242186,4231,20.0
1582152110.724245,4245,14.0
1582152110.7242682,4259,14.0
1582152110.7242923,4283,24.0
1582152110.724317,4312,29.0
1582152110.7243388,4322,10.0
1582152110.72437,4366,44.0
1582152110.72467,4378,12.0
1582152110.7247226,4426,48.0
1582152110.7247477,4433,7.0
1582152110.72478,4501,68.0
1582152110.7248046,4530,29.0
1582152110.724828,4554,24.0
1582152110.724855,4598,44.0
1582152110.7248774,4617,19.0
1582152110.7248998,4642,25.0
1582152110.7249236,4667,25.0
1582152110.7250597,4689,22.0
1582152110.725085,4716,27.0
1582152110.7251058,4721,5.0
1582152110.7251284,4742,21.0
1582152110.7251534,4779,37.0
1582152110.7251863,4815,36.0
1582152110.7252128,4841,26.0
1582152110.7252405,4866,25.0
1582152110.7252676,4906,40.0
1582152110.7252975,4941,35.0
1582152110.7254374,4962,21.0
1582152110.7254624,4988,26.0
1582152110.725494,5037,49.0
1582152110.7255182,5060,23.0
1582152110.7255416,5088,28.0
1582152165.5408897,5123,35.0
1582152165.5409486,5143,20.0
1582152165.5409846,5176,33.0
1582152165.5410109,5200,24.0
1582152165.5410347,5219,19.0
1582152165.541064,5254,35.0
1582152165.541093,5303,49.0
1582152165.541125,5338,35.0
1582152165.5411544,5369,31.0
1582152165.5411801,5389,20.0
1582152165.5412078,5397,8.0
1582152165.5414197,5421,24.0
1582152165.5414538,5467,46.0
1582152165.5414808,5490,23.0
1582152165.5415118,5507,17.0
1582152165.5415542,5528,21.0
1582152165.5415924,5561,33.0
1582152165.5416172,5587,26.0
1582152165.5416498,5668,81.0
1582152165.5416722,5688,20.0
1582152165.5416965,5721,33.0
1582152165.5418725,5769,48.0
1582152165.5419028,5797,28.0
1582152165.541925,5811,14.0
1582152165.5419497,5849,38.0
1582152165.5419767,5873,24.0
1582152165.5420003,5894,21.0
1582152165.5420265,5937,43.0
1582152165.542057,6011,74.0
1582152165.54208,6040,29.0
1582152165.542102,6060,20.0
1582152165.542244,6089,29.0
1582152165.5422692,6127,38.0
1582152219.786135,6180,53.0
1582152219.7861872,6214,34.0
1582152219.7862172,6243,29.0
1582152219.7862442,6276,33.0
1582152219.7862709,6311,35.0
1582152219.7862973,6345,34.0
1582152219.7863204,6365,20.0
1582152219.7863445,6394,29.0
1582152219.786369,6427,33.0
1582152219.7863917,6455,28.0
1582152219.786419,6503,48.0
1582152219.78667,6528,25.0
1582152219.7867107,6548,20.0
1582152219.786758,6618,70.0
1582152219.7867887,6659,41.0
1582152219.7868128,6685,26.0
1582152219.7868392,6727,42.0
1582152219.7868626,6749,22.0
1582152219.786904,6825,76.0
1582152219.786932,6866,41.0
1582152219.7869616,6883,17.0
1582152219.7871397,6915,32.0
1582152219.7871857,6953,38.0
1582152219.7872164,6987,34.0
1582152219.7872462,7036,49.0
1582152219.7872689,7053,17.0
1582152219.7872965,7104,51.0
1582152219.787323,7150,46.0
1582152273.6502452,7171,21.0
1582152273.65031,7261,90.0
1582152273.650343,7297,36.0
1582152273.650368,7315,18.0
1582152273.6504128,7464,149.0
1582152273.6504364,7487,23.0
1582152273.650468,7559,72.0
1582152273.6505008,7603,44.0
1582152273.650529,7641,38.0
1582152273.65056,7672,31.0
1582152273.6505904,7723,51.0
1582152273.6508806,7748,25.0
1582152273.650919,7769,21.0
1582152273.650948,7798,29.0
1582152273.6509752,7833,35.0
1582152273.6510015,7851,18.0
1582152273.6510353,7935,84.0
1582152273.6510773,7985,50.0
1582152273.6511147,8021,36.0
1582152273.651142,8053,32.0
1582152273.6511676,8089,36.0
1582152273.6513183,8116,27.0
1582152273.6513445,8147,31.0
1582152273.6513705,8188,41.0
1582152327.3184533,8217,29.0
1582152327.3185086,8246,29.0
1582152327.318542,8263,17.0
1582152327.318572,8312,49.0
1582152327.3186004,8362,50.0
1582152327.3186285,8414,52.0
1582152327.3186576,8465,51.0
1582152327.318689,8538,73.0
1582152327.3187246,8635,97.0
1582152327.3187501,8670,35.0
1582152327.3187723,8686,16.0
1582152327.3189638,8724,38.0
1582152327.3189874,8744,20.0
1582152327.319014,8791,47.0
1582152327.3190436,8821,30.0
1582152327.319075,8862,41.0
1582152327.319102,8909,47.0
1582152327.3191323,8976,67.0
1582152327.3191552,9005,29.0
1582152327.3191783,9034,29.0
1582152327.3192039,9078,44.0
1582152327.3193393,9126,48.0
1582152327.3193727,9205,79.0
1582152380.315658,9237,32.0
1582152380.3157322,9305,68.0
1582152380.3157725,9372,67.0
1582152380.3158183,9492,120.0
1582152380.3158536,9544,52.0
1582152380.315885,9573,29.0
1582152380.3159163,9606,33.0
1582152380.3159428,9639,33.0
1582152380.3159783,9674,35.0
1582152380.3160453,9738,64.0
1582152380.3160865,9856,118.0
1582152380.3164475,9885,29.0
1582152380.3164916,9962,77.0
1582152380.3165443,10001,39.0
1582152380.3165967,10053,52.0
1582152380.316643,10133,80.0
1582152380.3166673,10150,17.0
1582152380.31671,10235,85.0
1582152432.8213832,10341,106.0
1582152432.8214507,10454,113.0
1582152432.8214822,10490,36.0
1582152432.8215158,10564,74.0
1582152432.8215468,10628,64.0
1582152432.8215754,10686,58.0
1582152432.821599,10707,21.0
1582152432.8216276,10768,61.0
1582152432.8216593,10840,72.0
1582152432.8217168,11076,236.0
1582152432.8217492,11161,85.0
1582152432.821988,11209,48.0
1582152432.822015,11248,39.0
1582152485.0728905,11311,63.0
1582152485.0729485,11373,62.0
1582152485.0729945,11494,121.0
1582152485.0730455,11641,147.0
1582152485.0730777,11699,58.0
1582152485.0731063,11752,53.0
1582152485.0731826,12103,351.0
1582152485.073208,12144,41.0
1582152485.0732372,12203,59.0
1582152485.0732646,12255,52.0
1582152485.0732884,12284,29.0
1582152537.067388,12385,101.0
1582152537.0674462,12446,61.0
1582152537.0674975,12599,153.0
1582152537.0675316,12673,74.0
1582152537.0675583,12709,36.0
1582152537.0675826,12733,24.0
1582152537.06762,12804,71.0
1582152537.067657,12901,97.0
1582152537.0676951,12975,74.0
1582152537.0677202,13010,35.0
1582152537.067757,13123,113.0
1582152537.0679622,13239,116.0
1582152588.6585999,13534,295.0
1582152588.6586616,13604,70.0
1582152588.6587398,13857,253.0
1582152588.6587765,13930,73.0
1582152588.6588805,14182,252.0
1582152690.649,15608,1426.0
1582152690.6491654,16341,733.0
1582152742.211003,16484,143.0
1582152742.2110672,16525,41.0
1582152742.2111576,16894,369.0
1582152793.5549917,17928,1034.0
1582152793.5550535,18009,81.0
1582152793.5550995,18133,124.0
1582152793.5551274,18169,36.0
1582152845.4011369,18534,365.0
1582152845.4012108,18677,143.0
1582152845.4012487,18744,67.0
1582152845.4012852,18827,83.0
1582152845.4013243,18937,110.0
1582152845.4013548,18998,61.0
1582152845.4013994,19143,145.0
1582152845.4014425,19284,141.0
1582152896.3755066,20031,747.0
1582152947.319106,20708,677.0
1582152998.44886,22224,1516.0
1582153049.7840602,22982,758.0
1582153049.7841377,23154,172.0
1582153049.7841685,23177,23.0
1582153151.7004454,24795,1618.0
1582153151.7006247,25486,691.0
1582153202.8811116,25734,248.0
1582153202.8811877,25895,161.0
1582153202.8813398,26597,702.0
1582153253.8469186,26954,357.0
1582153305.3713007,27699,745.0
1582153305.3713887,27807,108.0
1582153305.3714507,27932,125.0
1582153305.3715324,28138,206.0
1582153356.8517783,28837,699.0
1582153356.8518615,29037,200.0
1582153356.851918,29218,181.0
1582153356.8519797,29461,243.0
1582153356.852084,29644,183.0
1582153458.9148278,30804,1160.0
1582153458.9148989,30928,124.0
1582153509.9843333,31775,847.0
1582153509.9846168,32740,965.0
1582153611.9783762,33947,1207.0
1582153611.9784877,34343,396.0
1582153663.1056576,35336,993.0
1582153663.1057374,35501,165.0
1582153714.457998,35959,458.0
1582153714.4580975,36136,177.0
1582153714.4582484,36375,239.0
1582153714.4583561,36778,403.0
1582153765.4510558,37471,693.0
1582153919.3345406,40062,2591.0
1582153919.3346055,40149,87.0
1582153919.334638,40180,31.0
1582153919.3346636,40197,17.0
1582153919.3346987,40273,76.0
1582153919.3347263,40306,33.0
1582153919.3347507,40326,20.0
1582153919.3347766,40359,33.0
1582153919.3347983,40366,7.0
1582153919.3348608,40643,277.0
1582153919.3349142,40846,203.0
1582153970.8598695,40961,115.0
1582153970.8599322,41043,82.0
1582153970.8599744,41147,104.0
1582153970.860071,41370,223.0
1582153970.8601162,41455,85.0
1582154073.5930185,43125,1670.0
1582154073.5931032,43256,131.0
1582154073.5931375,43262,6.0
1582154073.5932114,43498,236.0
1582154073.5932508,43566,68.0
1582154073.5933259,43818,252.0
1582154175.758546,45093,1275.0
1582154175.758695,45720,627.0
1582154175.7587485,45860,140.0
1582154227.0221338,46440,580.0
1582154278.1479871,47886,1446.0
1582154380.3142595,49471,1585.0
1582154380.3143463,49608,137.0
1582154380.3143964,49704,96.0
1582154482.0685391,51523,1819.0
1582154634.9184666,54584,3061.0
1582154634.9185607,54833,249.0
1582154736.9669244,56433,1600.0
1582154839.0468206,58599,2166.0
1582154890.100802,59548,949.0
1582154890.1009672,60185,637.0
1582154941.225786,60661,476.0
1582154941.225922,61223,562.0
1582154992.1302512,62437,1214.0
1582155144.6533613,64596,2159.0
1582155246.5891328,67515,2919.0
1582155297.6564016,67618,103.0
1582155297.6565785,68409,791.0
1582155399.5471644,69875,1466.0
1582155450.5776882,71008,1133.0
1582155603.518704,74569,3561.0
1582155756.2893922,76945,2376.0
1582155756.289557,77609,664.0
1582155909.0720615,80601,2992.0
1582156062.0365596,83905,3304.0
1582156163.9163032,85570,1665.0
1582156214.9912724,86743,1173.0
1582156214.9913974,86982,239.0
1582156265.7259805,87754,772.0
1582156316.7837963,88325,571.0
1582156316.7839096,88742,417.0
1582156520.3505702,92905,4163.0
1582156571.4158494,93516,611.0
1582156724.3901954,96410,2894.0
1582156775.4030526,98029,1619.0
1582156826.3585021,99023,994.0
