Wall time,Step,Value
1582141803.0999608,2613,65.0
1582141805.214864,2658,43.0
1582141806.3319669,2684,25.0
1582141809.4527,2745,58.0
1582141811.573298,2782,35.0
1582141812.688416,2810,27.0
1582141814.8053164,2853,41.0
1582141815.9306583,2871,17.0
1582141818.0502706,2906,33.0
1582141820.1583066,2941,33.0
1582141822.2735865,2993,50.0
1582141824.3901267,3035,40.0
1582141827.4941578,3090,52.0
1582141828.6154737,3125,34.0
1582141830.7229555,3154,27.0
1582141831.83402,3187,32.0
1582141833.9438221,3230,41.0
1582141837.044665,3284,51.0
1582141838.1595232,3315,30.0
1582141840.2941935,3354,37.0
1582141843.408372,3406,49.0
1582141845.5098271,3458,50.0
1582141847.6152878,3500,40.0
1582141849.728074,3541,39.0
1582141853.8373039,3620,75.0
1582141858.9369013,3728,103.0
1582141861.0512626,3768,38.0
1582141863.1724594,3818,48.0
1582141865.2907126,3854,34.0
1582141867.3974977,3887,31.0
1582141869.5061197,3934,45.0
1582141873.6092296,4015,77.0
1582141875.7259758,4055,38.0
1582141878.8394217,4117,59.0
1582141880.966332,4172,53.0
1582141885.0549273,4252,76.0
1582141887.181405,4291,37.0
1582141888.2986212,4324,32.0
1582141891.4065263,4371,44.0
1582141893.5254679,4421,48.0
1582141895.6310585,4471,48.0
1582141898.741915,4515,41.0
1582141901.8441029,4585,67.0
1582141903.9541192,4628,41.0
1582141906.0559077,4677,47.0
1582141908.1677215,4707,28.0
1582141911.268826,4771,61.0
1582141915.366827,4854,79.0
1582141917.4832437,4902,46.0
1582141919.5931716,4948,44.0
1582141922.740505,5003,52.0
1582141924.852707,5052,47.0
1582141926.9684823,5091,37.0
1582141929.0702477,5125,32.0
1582141930.1820152,5164,38.0
1582141934.278683,5231,63.0
1582141938.3787663,5329,94.0
1582141940.4942088,5367,36.0
1582141943.6113696,5419,49.0
1582141946.7228959,5495,73.0
1582141949.8248792,5551,53.0
1582141951.9377074,5588,35.0
1582141954.0479522,5637,47.0
1582141956.169439,5680,41.0
1582141959.276932,5744,61.0
1582141962.377996,5804,57.0
1582141965.4885883,5865,58.0
1582141968.5912588,5926,58.0
1582141971.6961772,5985,56.0
1582141973.8062787,6029,42.0
1582141975.9098144,6076,45.0
1582141978.0177534,6118,40.0
1582141981.1368663,6190,69.0
1582141984.256203,6249,56.0
1582141986.3698375,6291,40.0
1582141990.4784708,6365,70.0
1582141993.572872,6445,77.0
1582141996.676872,6505,57.0
1582141999.7825468,6571,63.0
