Wall time,Step,Value
1582136649.2919843,2138,10.0
1582136650.280479,2150,7.0
1582136652.1445065,2188,38.0
1582136653.022879,2202,14.0
1582136653.3979425,2207,5.0
1582136653.7607892,2213,6.0
1582136654.8773277,2233,20.0
1582136656.245596,2259,26.0
1582136657.595004,2278,5.0
1582136657.9631324,2283,5.0
1582136658.579218,2294,11.0
1582136659.1944807,2300,6.0
1582136660.3035576,2321,21.0
1582136660.669709,2327,6.0
1582136661.038534,2334,7.0
1582136663.63332,2375,11.0
1582136665.3569946,2409,14.0
1582136665.9727437,2416,7.0
1582136666.3425734,2424,8.0
1582136666.952789,2432,8.0
1582136667.5625658,2441,9.0
1582136668.1767938,2453,12.0
1582136668.797341,2462,9.0
1582136669.6630223,2479,17.0
1582136670.5263586,2492,13.0
1582136671.638895,2513,21.0
1582136672.2563124,2522,9.0
1582136672.625856,2528,6.0
1582136672.991366,2533,5.0
1582136673.6077292,2542,9.0
1582136674.9729807,2568,26.0
1582136676.8219745,2603,35.0
1582136677.6856732,2618,15.0
1582136678.3012984,2626,8.0
1582136678.6685457,2631,5.0
1582136679.2802057,2641,10.0
1582136680.6446662,2666,25.0
1582136681.5135598,2683,17.0
1582136681.8797085,2688,5.0
1582136683.3568816,2712,16.0
1582136687.5446217,2785,14.0
1582136689.6333687,2822,12.0
1582136691.3545768,2852,7.0
1582136692.7175245,2879,27.0
1582136694.0787957,2901,22.0
1582136696.056943,2937,21.0
1582136696.6712894,2946,9.0
1582136697.651909,2961,6.0
1582136698.0155826,2966,5.0
1582136698.630064,2978,12.0
1582136700.1134424,3002,14.0
1582136700.4932756,3008,6.0
1582136701.6077702,3026,18.0
1582136702.4783678,3044,18.0
1582136703.850008,3067,23.0
1582136704.4679632,3076,9.0
1582136706.9449127,3121,15.0
1582136708.0665767,3141,20.0
1582136708.9332216,3156,15.0
1582136710.6732125,3187,9.0
1582136711.0435562,3193,6.0
1582136712.2840776,3212,12.0
1582136713.1583447,3227,15.0
1582136713.775429,3236,9.0
1582136714.6412468,3250,14.0
1582136715.0169444,3258,8.0
1582136716.3887396,3281,23.0
1582136717.7615783,3307,26.0
1582136718.3808107,3319,12.0
1582136719.5011568,3336,17.0
1582136720.1213212,3346,10.0
1582136720.8646398,3355,9.0
1582136721.114112,3360,5.0
1582136721.9845026,3375,15.0
1582136722.8501947,3391,16.0
1582136724.2141593,3418,27.0
1582136724.837851,3428,10.0
1582136725.4559453,3436,8.0
1582136725.8255732,3442,6.0
1582136727.1868474,3469,27.0
1582136729.1751244,3503,26.0
1582136730.4149077,3522,8.0
1582136731.536242,3543,21.0
1582136733.1635604,3572,29.0
1582136734.5291438,3597,25.0
1582136735.1488848,3609,12.0
1582136735.7688236,3615,6.0
1582136737.6165454,3645,18.0
1582136737.986461,3650,5.0
1582136738.235612,3655,5.0
1582136738.8578546,3669,14.0
1582136740.8417087,3703,20.0
1582136741.461264,3711,8.0
1582136742.830369,3738,27.0
1582136744.5722601,3768,9.0
1582136748.047345,3834,16.0
1582136749.4186041,3857,23.0
1582136751.4083648,3894,20.0
1582136752.0270476,3903,9.0
1582136755.9157221,3971,20.0
1582136756.536926,3981,10.0
1582136756.906203,3988,7.0
1582136758.8909638,4024,16.0
