Wall time,Step,Value
1582147294.393019,10174,41.0
1582147294.3930483,10200,26.0
1582147300.9938333,10261,61.0
1582147300.9938688,10284,23.0
1582147307.7211008,10393,109.0
1582147307.7211392,10422,29.0
1582147307.721169,10457,35.0
1582147314.5844953,10501,44.0
1582147314.5845375,10545,44.0
1582147314.5845683,10579,34.0
1582147314.5846002,10606,27.0
1582147321.4214146,10631,25.0
1582147321.4214547,10667,36.0
1582147321.4214928,10701,34.0
1582147321.421524,10742,41.0
1582147328.181347,10798,56.0
1582147328.181383,10826,28.0
1582147328.1814137,10866,40.0
1582147334.904151,10902,36.0
1582147334.9042187,10948,46.0
1582147334.9042761,10996,48.0
1582147341.6350782,11047,51.0
1582147341.6351175,11087,40.0
1582147341.6351492,11135,48.0
1582147348.3579638,11178,43.0
1582147348.3580022,11212,34.0
1582147348.358033,11246,34.0
1582147355.1139553,11278,32.0
1582147355.1139953,11319,41.0
1582147355.114025,11350,31.0
1582147361.8311431,11402,52.0
1582147361.8311899,11482,80.0
1582147361.8312185,11511,29.0
1582147368.5683017,11540,29.0
1582147368.5683484,11589,49.0
1582147368.568384,11646,57.0
1582147381.8070295,11778,132.0
1582147381.8070695,11807,29.0
1582147381.8070998,11845,38.0
1582147381.8071277,11885,40.0
1582147388.5450845,11920,35.0
1582147388.5451264,11952,32.0
1582147388.545159,11997,45.0
1582147395.3924322,12055,58.0
1582147395.392469,12082,27.0
1582147395.3924983,12111,29.0
1582147395.3925247,12146,35.0
1582147402.113191,12213,67.0
1582147402.1132274,12239,26.0
1582147402.1132576,12273,34.0
1582147408.8460157,12331,58.0
1582147408.846053,12360,29.0
1582147408.8460817,12386,26.0
1582147415.5779088,12422,36.0
1582147415.5779586,12495,73.0
1582147415.5779884,12521,26.0
1582147422.1697495,12634,113.0
1582147422.169787,12663,29.0
1582147428.9006379,12711,48.0
1582147428.900675,12739,28.0
1582147428.9007075,12784,45.0
1582147435.653154,12849,65.0
1582147435.6531906,12878,29.0
1582147442.2738767,12928,50.0
1582147442.273918,12955,27.0
1582147442.2739558,13031,76.0
1582147449.0269988,13092,61.0
1582147449.0270376,13128,36.0
1582147449.02707,13171,43.0
1582147455.6380424,13270,99.0
1582147455.6380832,13295,25.0
1582147462.3640819,13324,29.0
1582147462.364128,13395,71.0
1582147462.364157,13419,24.0
